都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,369,静岡県,浜松市,179,市営中田島団地,D9,集合住宅,中央区,白羽町2379-2,中央区白羽町2379-2,静岡県浜松市中央区白羽町2379-2,137.7368966,34.66618849,3階,6ｍ,49人,階段踊場,34.5,公共,RC,,15332801.19,4118609.517
221309,370,静岡県,浜松市,180,市営中田島団地,D14,集合住宅,中央区,白羽町2785-2,中央区白羽町2785-2,静岡県浜松市中央区白羽町2785-2,137.736108,34.66575831,3階,6ｍ,49人,階段踊場,34.5,公共,RC,,15332713.41,4118551.294
221309,371,静岡県,浜松市,181,市営中田島団地,D18,集合住宅,中央区,白羽町2700-2,中央区白羽町2700-2,静岡県浜松市中央区白羽町2700-2,137.7339113,34.66570757,3階,6ｍ,33人,階段踊場,23,公共,RC,1981,15332468.87,4118544.427
221309,372,静岡県,浜松市,182,市営中田島団地,D19,集合住宅,中央区,白羽町2700-2,中央区白羽町2700-2,静岡県浜松市中央区白羽町2700-2,137.7335519,34.66570978,3階,6ｍ,33人,階段踊場,23,公共,RC,1981,15332428.86,4118544.726
221309,373,静岡県,浜松市,183,市営遠州浜団地,C1,集合住宅,中央区,遠州浜一丁目19,中央区遠州浜一丁目19,静岡県浜松市中央区遠州浜一丁目19,137.764695,34.65788004,3階,6ｍ,27人,階段踊場,18.9,公共,RC,,15335895.7,4117485.057
221309,374,静岡県,浜松市,184,市営遠州浜団地,C2,集合住宅,中央区,遠州浜一丁目18,中央区遠州浜一丁目18,静岡県浜松市中央区遠州浜一丁目18,137.7647057,34.65813156,3階,6ｍ,291人,階段踊場、屋上,204.9,公共,RC,,15335896.89,4117519.096
221309,375,静岡県,浜松市,185,市営遠州浜団地,C3,集合住宅,中央区,遠州浜一丁目17,中央区遠州浜一丁目17,静岡県浜松市中央区遠州浜一丁目17,137.7647647,34.65837646,3階,6ｍ,35人,階段踊場,24.3,公共,RC,,15335903.46,4117552.239
221309,376,静岡県,浜松市,186,市営遠州浜団地,C4,集合住宅,中央区,遠州浜一丁目16,中央区遠州浜一丁目16,静岡県浜松市中央区遠州浜一丁目16,137.7647808,34.658639,3階,6ｍ,27人,階段踊場,18.9,公共,RC,,15335905.25,4117587.769
221309,377,静岡県,浜松市,187,市営遠州浜団地,C5,集合住宅,中央区,遠州浜四丁目11,中央区遠州浜四丁目11,静岡県浜松市中央区遠州浜四丁目11,137.7771753,34.6548993,3階,6ｍ,27人,階段踊場,18.9,公共,RC,,15337285,4117081.673
221309,378,静岡県,浜松市,188,市営遠州浜団地,C6,集合住宅,中央区,遠州浜四丁目8,中央区遠州浜四丁目8,静岡県浜松市中央区遠州浜四丁目8,137.7774704,34.65538029,3階,6ｍ,27人,階段踊場,18.9,公共,RC,,15337317.85,4117146.764
